# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalSafepointCount,1774241936570000000,1774241996570000000,515
JVM.usedHeapBytes,1774241936570000000,1774241996570000000,990060264
JVM.totalDirectByteBuffersBytes,1774241936570000000,1774241996570000000,611147231
JVM.totalTimeToSafepointsMs,1774241936570000000,1774241996570000000,94
MEM.ramMinusFileMappingsBytes,1774241936570000000,1774241996570000000,520880128
OS.loadAverage,1774241936570000000,1774241996570000000,3.59814453125
MEM.ramPlusSwapMinusFileMappingsBytes,1774241936570000000,1774241996570000000,2565619904
JVM.totalCpuTimeMs,1774241936570000000,1774241996570000000,133544
JVM.GC.collections,1774241936570000000,1774241996570000000,95
JVM.maxThreadCount,1774241936570000000,1774241996570000000,144
JVM.usedNativeBytes,1774241936570000000,1774241996570000000,350291568
JVM.threadCount,1774241936570000000,1774241996570000000,139
MEM.ramBytes,1774241936570000000,1774241996570000000,1035370496
JVM.GC.collectionTimesMs,1774241936570000000,1774241996570000000,769
JVM.totalBytesAllocated,1774241936570000000,1774241996570000000,14338378792
JVM.totalTimeAtSafepointsMs,1774241936570000000,1774241996570000000,794
cacheStateStorage.set.duration,1774241936570000000,1774241996570000000,95
cacheStateStorage.set.counter,1774241936570000000,1774241996570000000,5
cacheStateStorage.get.counter,1774241936570000000,1774241996570000000,20
cacheStateStorage.get.duration,1774241936570000000,1774241996570000000,10
VFS.cache.segmentsCreated,1774241936570000000,1774241996570000000,178
VFS.contentStorage.recordsReadSize,1774241936570000000,1774241996570000000,0
VFS.rootsCount,1774241936570000000,1774241996570000000,67.0
VFS.fileByIdCache.hits,1774241936570000000,1774241996570000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1774241936570000000,1774241996570000000,0
VFS.fileChildByName,1774241936570000000,1774241996570000000,18677
VFS.contentStorage.recordsStoredCompressed,1774241936570000000,1774241996570000000,1
FileNameCache.totalMisses,1774241936570000000,1774241996570000000,23936
VFS.cache.directoriesCreated,1774241936570000000,1774241996570000000,4922
VFS.contentStorage.recordsReadDecompressed,1774241936570000000,1774241996570000000,0
FileNameCache.queries,1774241936570000000,1774241996570000000,3542272
VFS.cache.segments,1774241936570000000,1774241996570000000,176.0
VFS.contentStorage.recordsUncompressedSize,1774241936570000000,1774241996570000000,24560
VFS.contentStorage.recordsStoredSize,1774241936570000000,1774241996570000000,2209
VFS.cache.filesCreated,1774241936570000000,1774241996570000000,55410
VFS.folderCaseSensitivityReads,1774241936570000000,1774241996570000000,39
VFS.fileByIdCache.misses,1774241936570000000,1774241996570000000,73
VFS.invertedFileNameIndex.requests,1774241936570000000,1774241996570000000,0
VFS.contentStorage.recordsDeduplicated,1774241936570000000,1774241996570000000,0
VFS.contentStorage.recordsStored,1774241936570000000,1774241996570000000,1
VFS.contentStorage.recordsRead,1774241936570000000,1774241996570000000,0
compiler.ArtifactManagerBridge.commit.ms,1774241936570000000,1774241996570000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1774241936570000000,1774241996570000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1774241936570000000,1774241996570000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1774241936570000000,1774241996570000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1774241936570000000,1774241996570000000,0
